measured,gauge_id,print_feature_id,inspection_id
0.622,4,1,1
0.88,4,2,1
0.636,4,3,1
0.623,4,1,2
0.878,4,2,2
0.635,4,3,2
0.626,4,1,3
0.883,4,2,3
0.638,4,3,3
0.626,4,1,4
0.878,4,2,4
0.635,4,3,4
0.625,4,1,5
0.877,4,2,5
0.638,4,3,5
0.622,4,1,6
0.88,4,2,6
0.633,4,3,6
0.624,4,1,7
0.88,4,2,7
0.637,4,3,7
0.639,4,1,8
0.882,4,2,8
0.634,4,3,8
0.627,4,1,9
0.872,4,2,9
0.631,4,3,9
0.629,4,1,10
0.877,4,2,10
0.632,4,3,10
0.626,4,1,11
0.876,4,2,11
0.635,4,3,11
0.626,4,1,12
0.876,4,2,12
0.632,4,3,12
0.618,4,1,13
0.871,4,2,13
0.63,4,3,13
0.63,4,1,14
0.877,4,2,14
0.637,4,3,14
0.631,4,1,15
0.873,4,2,15
0.635,4,3,15
0.627,4,1,16
0.874,4,2,16
0.636,4,3,16
0.628,4,1,17
0.877,4,2,17
0.636,4,3,17
0.63,4,1,18
0.875,4,2,18
0.636,4,3,18
0.624,4,1,19
0.879,4,2,19
0.636,4,3,19
0.625,4,1,20
0.879,4,2,20
0.636,4,3,20
0.623,4,1,21
0.875,4,2,21
0.636,4,3,21
0.625,4,1,22
0.878,4,2,22
0.635,4,3,22
0.623,4,1,23
0.879,4,2,23
0.635,4,3,23
0.627,4,1,24
0.875,4,2,24
0.635,4,3,24
0.628,4,1,25
0.871,4,2,25
0.635,4,3,25
0.634,4,1,26
0.879,4,2,26
0.635,4,3,26
0.62,4,1,27
0.876,4,2,27
0.635,4,3,27
0.619,4,1,28
0.88,4,2,28
0.634,4,3,28
0.625,4,1,29
0.873,4,2,29
0.634,4,3,29
0.625209,4,1,30
0.87551,4,2,30
0.633177,4,3,30
0.625,4,1,31
0.8756,4,2,31
0.635,4,3,31
0.626,4,1,32
0.876,4,2,32
0.635,4,3,32
0.6266,4,1,33
0.8725,4,2,33
0.635,4,3,33
0.6304,4,1,34
0.8716,4,2,34
0.635,4,3,34
0.6266,4,1,35
0.8777,4,2,35
0.635,4,3,35
0.6287,4,1,36
0.8725,4,2,36
0.635,4,3,36
0.621,4,1,37
0.873,4,2,37
0.635,4,3,37
0.222,8,4,38
0.624,2,5,38
0.086,8,6,38
0.12,5,7,38
0.255,2,8,38
0.413,8,9,38
0.53,9,10,38
0.085,5,11,38
0.297,2,12,38
0.222,2,4,39
0.626,2,5,39
0.086,2,6,39
0.12,2,7,39
0.252,2,8,39
0.413,2,9,39
0.53,2,10,39
0.085,2,11,39
0.297,2,12,39
0.222,2,4,40
0.626,2,5,40
0.086,2,6,40
0.12,2,7,40
0.255,2,8,40
0.413,2,9,40
0.53,2,10,40
0.085,2,11,40
0.297,2,12,40
0.222,2,4,41
0.625,2,5,41
0.086,2,6,41
0.119,2,7,41
0.255,2,8,41
0.413,2,9,41
0.53,2,10,41
0.085,2,11,41
0.297,2,12,41
0.222,2,4,42
0.627,2,5,42
0.086,2,6,42
0.119,2,7,42
0.256,2,8,42
0.413,2,9,42
0.53,2,10,42
0.085,2,11,42
0.297,2,12,42
0.222,2,4,43
0.623,2,5,43
0.086,2,6,43
0.1195,2,7,43
0.256,2,8,43
0.413,2,9,43
0.53,2,10,43
0.085,2,11,43
0.297,2,12,43
0.222,2,4,44
0.622,2,5,44
0.086,2,6,44
0.119,2,7,44
0.255,2,8,44
0.413,2,9,44
0.53,2,10,44
0.085,2,11,44
0.297,2,12,44
0.222,2,4,45
0.62,2,5,45
0.086,2,6,45
0.119,2,7,45
0.256,2,8,45
0.413,2,9,45
0.53,2,10,45
0.085,2,11,45
0.297,2,12,45
0.222,2,4,46
0.624,2,5,46
0.086,2,6,46
0.12,2,7,46
0.257,2,8,46
0.413,2,9,46
0.529,2,10,46
0.085,2,11,46
0.297,2,12,46
0.222,2,4,47
0.624,2,5,47
0.086,2,6,47
0.12,2,7,47
0.255,2,8,47
0.413,2,9,47
0.529,2,10,47
0.085,2,11,47
0.297,2,12,47
0.222,2,4,48
0.625,2,5,48
0.086,2,6,48
0.12,2,7,48
0.252,2,8,48
0.413,2,9,48
0.53,2,10,48
0.09,2,11,48
0.297,2,12,48
0.222,2,4,49
0.622,2,5,49
0.086,2,6,49
0.12,2,7,49
0.251,2,8,49
0.413,2,9,49
0.53,2,10,49
0.089,2,11,49
0.297,2,12,49
0.222,2,4,50
0.623,2,5,50
0.086,2,6,50
0.118,2,7,50
0.255,2,8,50
0.413,2,9,50
0.53,2,10,50
0.09,2,11,50
0.297,2,12,50
0.222,2,4,51
0.627,2,5,51
0.086,2,6,51
0.12,2,7,51
0.254,2,8,51
0.413,2,9,51
0.529,2,10,51
0.089,2,11,51
0.297,2,12,51
0.222,2,4,52
0.626,2,5,52
0.086,2,6,52
0.12,2,7,52
0.255,2,8,52
0.413,2,9,52
0.53,2,10,52
0.089,2,11,52
0.297,2,12,52
